PT,PT_Low,PT_High,CS/A_cm2,error_cm2,CS/A_pb,CS,error,"sys,Normalisation error","sys,Point-to-point systematic error",y,QM,QM_Low,QM_High,SqrtS,xF,P NUCLEUS --> MU+ MU- X
2.1,2,2.2,0.52,0.16,0.00052,0.00052,0.00016,,,0.03,11.5,11,12,400,0.001725259,
2.3,2.2,2.4,0.32,0.13,0.00032,0.00032,0.00013,,,0.03,11.5,11,12,400,0.001725259,
2.5,2.4,2.6,0.31,0.12,0.00031,0.00031,0.00012,,,0.03,11.5,11,12,400,0.001725259,
2.7,2.6,2.8,0.16,0.1,0.00016,0.00016,0.0001,,,0.03,11.5,11,12,400,0.001725259,
2.9,2.8,3,0.21,0.11,0.00021,0.00021,0.00011,,,0.03,11.5,11,12,400,0.001725259,
3.1,3,3.2,0.05,0.05,0.00005,0.00005,0.00005,,,0.03,11.5,11,12,400,0.001725259,
3.3,3.2,3.4,0.049,0.049,0.000049,0.000049,0.000049,,,0.03,11.5,11,12,400,0.001725259,
3.5,3.4,3.6,0.046,0.046,0.000046,0.000046,0.000046,,,0.03,11.5,11,12,400,0.001725259,
0.1,0,0.2,2.25,0.85,0.00225,0.00225,0.00085,,,0.03,12.5,12,13,400,0.001875281,
0.3,0.2,0.4,2.59,0.54,0.00259,0.00259,0.00054,,,0.03,12.5,12,13,400,0.001875281,
0.5,0.4,0.6,1.57,0.35,0.00157,0.00157,0.00035,,,0.03,12.5,12,13,400,0.001875281,
0.7,0.6,0.8,2.07,0.34,0.00207,0.00207,0.00034,,,0.03,12.5,12,13,400,0.001875281,
0.9,0.8,1,1.54,0.27,0.00154,0.00154,0.00027,,,0.03,12.5,12,13,400,0.001875281,
1.1,1,1.2,1.29,0.24,0.00129,0.00129,0.00024,,,0.03,12.5,12,13,400,0.001875281,
1.3,1.2,1.4,0.97,0.2,0.00097,0.00097,0.0002,,,0.03,12.5,12,13,400,0.001875281,
1.5,1.4,1.6,0.85,0.18,0.00085,0.00085,0.00018,,,0.03,12.5,12,13,400,0.001875281,
1.7,1.6,1.8,0.52,0.14,0.00052,0.00052,0.00014,,,0.03,12.5,12,13,400,0.001875281,
1.9,1.8,2,0.16,0.08,0.00016,0.00016,0.00008,,,0.03,12.5,12,13,400,0.001875281,
