,hadron,Q2,x,z,phT,1D_dependence
286,pi0,2.96875,0.22103030303030305,0.366375,0.370625,x
287,pi0,2.96875,0.2231818181818182,0.366375,0.370625,x
288,pi0,2.96875,0.22533333333333336,0.366375,0.370625,x
289,pi0,2.96875,0.2274848484848485,0.366375,0.370625,x
290,pi0,2.96875,0.22963636363636367,0.366375,0.370625,x
291,pi0,2.96875,0.2317878787878788,0.366375,0.370625,x
292,pi0,2.96875,0.23393939393939395,0.366375,0.370625,x
293,pi0,2.96875,0.2360909090909091,0.366375,0.370625,x
294,pi0,2.96875,0.23824242424242426,0.366375,0.370625,x
295,pi0,2.96875,0.2403939393939394,0.366375,0.370625,x
296,pi0,2.96875,0.24254545454545456,0.366375,0.370625,x
297,pi0,2.96875,0.24469696969696972,0.366375,0.370625,x
298,pi0,2.96875,0.24684848484848487,0.366375,0.370625,x
299,pi0,2.96875,0.249,0.366375,0.370625,x
300,k+,2.7887500000000003,0.036,0.39537500000000003,0.39975000000000005,x
301,k+,2.7887500000000003,0.03818181818181818,0.39537500000000003,0.39975000000000005,x
302,k+,2.7887500000000003,0.04036363636363636,0.39537500000000003,0.39975000000000005,x
303,k+,2.7887500000000003,0.04254545454545454,0.39537500000000003,0.39975000000000005,x
304,k+,2.7887500000000003,0.04472727272727273,0.39537500000000003,0.39975000000000005,x
305,k+,2.7887500000000003,0.04690909090909091,0.39537500000000003,0.39975000000000005,x
306,k+,2.7887500000000003,0.04909090909090909,0.39537500000000003,0.39975000000000005,x
307,k+,2.7887500000000003,0.05127272727272727,0.39537500000000003,0.39975000000000005,x
308,k+,2.7887500000000003,0.05345454545454545,0.39537500000000003,0.39975000000000005,x
309,k+,2.7887500000000003,0.05563636363636364,0.39537500000000003,0.39975000000000005,x
310,k+,2.7887500000000003,0.05781818181818182,0.39537500000000003,0.39975000000000005,x
311,k+,2.7887500000000003,0.06,0.39537500000000003,0.39975000000000005,x
312,k+,2.7887500000000003,0.06218181818181818,0.39537500000000003,0.39975000000000005,x
313,k+,2.7887500000000003,0.06436363636363636,0.39537500000000003,0.39975000000000005,x
314,k+,2.7887500000000003,0.06654545454545455,0.39537500000000003,0.39975000000000005,x
315,k+,2.7887500000000003,0.06872727272727272,0.39537500000000003,0.39975000000000005,x
316,k+,2.7887500000000003,0.07090909090909091,0.39537500000000003,0.39975000000000005,x
317,k+,2.7887500000000003,0.0730909090909091,0.39537500000000003,0.39975000000000005,x
318,k+,2.7887500000000003,0.07527272727272727,0.39537500000000003,0.39975000000000005,x
319,k+,2.7887500000000003,0.07745454545454546,0.39537500000000003,0.39975000000000005,x
320,k+,2.7887500000000003,0.07963636363636364,0.39537500000000003,0.39975000000000005,x
321,k+,2.7887500000000003,0.08181818181818182,0.39537500000000003,0.39975000000000005,x
322,k+,2.7887500000000003,0.08399999999999999,0.39537500000000003,0.39975000000000005,x
323,k+,2.7887500000000003,0.08618181818181818,0.39537500000000003,0.39975000000000005,x
324,k+,2.7887500000000003,0.08836363636363637,0.39537500000000003,0.39975000000000005,x
325,k+,2.7887500000000003,0.09054545454545454,0.39537500000000003,0.39975000000000005,x
326,k+,2.7887500000000003,0.09272727272727273,0.39537500000000003,0.39975000000000005,x
327,k+,2.7887500000000003,0.09490909090909092,0.39537500000000003,0.39975000000000005,x
328,k+,2.7887500000000003,0.09709090909090909,0.39537500000000003,0.39975000000000005,x
329,k+,2.7887500000000003,0.09927272727272726,0.39537500000000003,0.39975000000000005,x
330,k+,2.7887500000000003,0.10145454545454546,0.39537500000000003,0.39975000000000005,x
331,k+,2.7887500000000003,0.10363636363636364,0.39537500000000003,0.39975000000000005,x
332,k+,2.7887500000000003,0.10581818181818181,0.39537500000000003,0.39975000000000005,x
333,k+,2.7887500000000003,0.10800000000000001,0.39537500000000003,0.39975000000000005,x
334,k+,2.7887500000000003,0.11018181818181819,0.39537500000000003,0.39975000000000005,x
335,k+,2.7887500000000003,0.11236363636363636,0.39537500000000003,0.39975000000000005,x
336,k+,2.7887500000000003,0.11454545454545453,0.39537500000000003,0.39975000000000005,x
337,k+,2.7887500000000003,0.11672727272727274,0.39537500000000003,0.39975000000000005,x
338,k+,2.7887500000000003,0.11890909090909091,0.39537500000000003,0.39975000000000005,x
339,k+,2.7887500000000003,0.12109090909090908,0.39537500000000003,0.39975000000000005,x
340,k+,2.7887500000000003,0.12327272727272728,0.39537500000000003,0.39975000000000005,x
341,k+,2.7887500000000003,0.12545454545454546,0.39537500000000003,0.39975000000000005,x
342,k+,2.7887500000000003,0.12763636363636363,0.39537500000000003,0.39975000000000005,x
343,k+,2.7887500000000003,0.12981818181818183,0.39537500000000003,0.39975000000000005,x
344,k+,2.7887500000000003,0.132,0.39537500000000003,0.39975000000000005,x
345,k+,2.7887500000000003,0.13418181818181818,0.39537500000000003,0.39975000000000005,x
346,k+,2.7887500000000003,0.13636363636363635,0.39537500000000003,0.39975000000000005,x
347,k+,2.7887500000000003,0.13854545454545455,0.39537500000000003,0.39975000000000005,x
348,k+,2.7887500000000003,0.14072727272727273,0.39537500000000003,0.39975000000000005,x
349,k+,2.7887500000000003,0.1429090909090909,0.39537500000000003,0.39975000000000005,x
350,k+,2.7887500000000003,0.1450909090909091,0.39537500000000003,0.39975000000000005,x
351,k+,2.7887500000000003,0.14727272727272728,0.39537500000000003,0.39975000000000005,x
352,k+,2.7887500000000003,0.14945454545454545,0.39537500000000003,0.39975000000000005,x
353,k+,2.7887500000000003,0.15163636363636362,0.39537500000000003,0.39975000000000005,x
354,k+,2.7887500000000003,0.15381818181818183,0.39537500000000003,0.39975000000000005,x
355,k+,2.7887500000000003,0.156,0.39537500000000003,0.39975000000000005,x
356,k+,2.7887500000000003,0.15818181818181817,0.39537500000000003,0.39975000000000005,x
357,k+,2.7887500000000003,0.16036363636363637,0.39537500000000003,0.39975000000000005,x
358,k+,2.7887500000000003,0.16254545454545455,0.39537500000000003,0.39975000000000005,x
359,k+,2.7887500000000003,0.16472727272727275,0.39537500000000003,0.39975000000000005,x
360,k+,2.7887500000000003,0.16690909090909092,0.39537500000000003,0.39975000000000005,x
361,k+,2.7887500000000003,0.1690909090909091,0.39537500000000003,0.39975000000000005,x
362,k+,2.7887500000000003,0.17127272727272727,0.39537500000000003,0.39975000000000005,x
363,k+,2.7887500000000003,0.17345454545454547,0.39537500000000003,0.39975000000000005,x
