,hadron,1D_dependence,x,z,phT,QQ,sbar,ubar,dbar,d,u,s
107,k+,phT,0.076,0.451,0.867,2.29,0.06097780886325806,0.12317696910531212,0.16302443156292973,0.42438299823103875,0.5930615408504348,0.06097780886325806
108,k-,x,0.036,0.338,0.503,1.3,0.057528895636719604,0.14080221303793178,0.16860413295640367,0.331601865686836,0.41353420585137496,0.057528895636719604
109,k-,x,0.056,0.355,0.417,1.67,0.06268112561125673,0.13944933927208591,0.17488466381601095,0.39835098683464815,0.5256872349120695,0.06268112561125673
110,k-,x,0.074,0.361,0.381,2.04,0.06016401024389528,0.12459960242312001,0.16408462167807525,0.42176424478775687,0.5848418053993795,0.06016401024389528
111,k-,x,0.093,0.367,0.367,2.44,0.05453949496713864,0.10605501689375595,0.1491188405170483,0.43250200118398135,0.6293659116284555,0.05453949496713864
112,k-,x,0.093,0.367,0.367,2.44,0.05453949496713864,0.10605501689375595,0.1491188405170483,0.43250200118398135,0.6293659116284555,0.05453949496713864
113,k-,x,0.118,0.366,0.362,3.01,0.045879348935692336,0.08271142582078274,0.1276496639205072,0.4314744219376915,0.6674398749570156,0.045879348935692336
114,k-,x,0.157,0.365,0.356,3.89,0.033299747134221874,0.05503228253261869,0.09450564335200691,0.40724128315106883,0.6936686900061774,0.033299747134221874
115,k-,x,0.251,0.363,0.364,5.82,0.013773844240370049,0.023567556636533822,0.03519788662543245,0.30132326437556306,0.6439654242852356,0.013773844240370049
116,k-,z,0.082,0.227,0.362,2.41,0.059014034934819215,0.11715633213004716,0.15818891929231124,0.4281588381611464,0.607569466569182,0.059014034934819215
117,k-,z,0.087,0.287,0.389,2.41,0.0569023289848381,0.11205898728367103,0.15405133002926913,0.4304026799467824,0.6177623121572074,0.0569023289848381
118,k-,z,0.091,0.347,0.419,2.4,0.05521446127286689,0.10803255452571431,0.15077688800772132,0.4318999409387125,0.6254160881906864,0.05521446127286689
119,k-,z,0.092,0.411,0.44,2.37,0.05470021032933059,0.10703240781941008,0.14997985267600333,0.43225344708887936,0.62709736279319,0.05470021032933059
120,k-,z,0.091,0.482,0.46,2.29,0.05479649342916898,0.107998474440449,0.15082965349263389,0.4319499167781063,0.6246588962163787,0.05479649342916898
121,k-,z,0.091,0.482,0.46,2.29,0.05479649342916898,0.107998474440449,0.15082965349263389,0.4319499167781063,0.6246588962163787,0.05479649342916898
122,k-,z,0.093,0.556,0.465,2.34,0.05419072282668457,0.10604159565498049,0.14919039591583025,0.4326016983449133,0.6287643723922597,0.05419072282668457
123,k-,z,0.094,0.642,0.493,2.33,0.05375775502397543,0.10506239635158045,0.1483920990695112,0.43292085761561244,0.6305399787858847,0.05375775502397543
124,k-,z,0.093,0.726,0.5,2.28,0.05396609634922339,0.10603046816926091,0.14923198236098165,0.43265530454254497,0.6283687442903985,0.05396609634922339
125,k-,z,0.096,0.793,0.464,2.3,0.05286705710177707,0.10312727810868101,0.14681489954033555,0.43353070490284845,0.6339704220264075,0.05286705710177707
126,k-,phT,0.103,0.337,0.111,2.47,0.05065420835802499,0.09643214130084145,0.14095504491513458,0.434467400896959,0.6464963455709359,0.05065420835802499
127,k-,phT,0.1,0.346,0.21,2.48,0.05185682143102033,0.0992674984298231,0.14336985579918857,0.4340075499168247,0.6416738082281581,0.05185682143102033
128,k-,phT,0.096,0.346,0.28,2.48,0.05345291042417168,0.10311645157834064,0.1466304798080019,0.4332262802814136,0.6349101558731891,0.05345291042417168
129,k-,phT,0.089,0.351,0.345,2.39,0.055996173068605874,0.11003071383189625,0.15241410995284996,0.4311843107200398,0.6215292601193443,0.055996173068605874
130,k-,phT,0.089,0.351,0.345,2.39,0.055996173068605874,0.11003071383189625,0.15241410995284996,0.4311843107200398,0.6215292601193443,0.055996173068605874
131,k-,phT,0.084,0.348,0.447,2.32,0.0577660589936486,0.11502613101646172,0.15649569228108542,0.42899756223910873,0.6109420136050785,0.0577660589936486
132,k-,phT,0.08,0.358,0.597,2.31,0.059388933750243,0.11909016234441187,0.15976428811035978,0.42688733001993434,0.6023052681009681,0.059388933750243
133,k-,phT,0.073,0.409,0.856,2.26,0.06207703255737135,0.1262041966847087,0.16542749779296878,0.42219301387389857,0.5856011524560966,0.06207703255737135
